signal_platform,play_count,like_count,comment_count,share_count,engagement_total,like_rate,comment_rate
False,162.0,17.0,0.0,0.0,189.0,0.1147540983606557,0.0002914691540513
True,201.5,19.0,1.0,0.0,239.5,0.09809495365382764,0.0019625334522747
