era,play_count,like_count,comment_count,share_count,engagement_total,like_rate,comment_rate
post_ai,180.0,20.0,1.0,0.0,209.0,0.10967142343206615,0.0033030755970629
pre_ai,132.5,14.0,0.0,0.0,155.0,0.12162175304151629,0.0
