comparison,agreement_rate,n_non_null,agreement_rate_pct
signals_platform_vs_creator,0.8837209302325582,86,88.37
signals_platform_vs_manual,0.4883720930232558,86,48.84
signals_creator_vs_manual,0.6046511627906976,86,60.47
signals_agree_all,,0,
positive_agreement_platform_creator,0.0,10,0.0
