signal_platform,play_count,like_count,comment_count,share_count,engagement_total,like_rate,comment_rate
False,166.0,18.0,0.0,0.0,192.0,0.11975418910078994,0.0
True,315.0,9.0,0.0,1.0,325.0,0.0285714285714285,0.0
