era,play_count,like_count,comment_count,share_count,engagement_total,like_rate,comment_rate
post_ai,184.5,21.0,1.0,0.0,213.0,0.1180327868852459,0.0029585798816568
pre_ai,138.0,15.0,0.0,0.0,165.0,0.12239470256187576,0.0
